date,pi_growth,pi_risk,pi_drawdown,pi_turnover
1998-03-31,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-01,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-02,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-03,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-06,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-07,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-08,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-09,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-10,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-13,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-14,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-15,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-16,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-17,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-20,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-21,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-22,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-23,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-24,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-27,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-28,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-29,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-04-30,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-01,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-04,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-05,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-06,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-07,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-08,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-11,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-12,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-13,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-14,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-15,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-18,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-19,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-20,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-21,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-22,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-25,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-26,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-27,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-28,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-05-29,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-01,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-02,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-03,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-04,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-05,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-08,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-09,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-10,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-11,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-12,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-15,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-16,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-17,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-18,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-19,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-22,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-23,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-24,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-25,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-26,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-29,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-06-30,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-01,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-02,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-03,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-06,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-07,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-08,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-09,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-10,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-13,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-14,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-15,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-16,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-17,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-20,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-21,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-22,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-23,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-24,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-27,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-28,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-29,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-30,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-07-31,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-03,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-04,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-05,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-06,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-07,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-10,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-11,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-12,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-13,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-14,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-17,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-18,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-19,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-20,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-21,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-24,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-25,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-26,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-27,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-28,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-08-31,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-01,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-02,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-03,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-04,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-07,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-08,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-09,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-10,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-11,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-14,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-15,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-16,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-17,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-18,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-21,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-22,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-23,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-24,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-25,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-28,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-29,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-09-30,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-01,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-02,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-05,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-06,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-07,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-08,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-09,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-12,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-13,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-14,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-15,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-16,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-19,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-20,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-21,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-22,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-23,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-26,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-27,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-28,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-29,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-10-30,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-02,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-03,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-04,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-05,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-06,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-09,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-10,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-11,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-12,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-13,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-16,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-17,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-18,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-19,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-20,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1998-11-23,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
